Question ID (machine readable),Response ID (machine readable),Response value,Answer requirement,Human-friendly question label
PSL_DATA_COLLECTION_COLLECTS_PERSONAL_DATA,,true,REQUIRED,هل يجمع تطبيقك أو يشارك أي نوع من أنواع بيانات المستخدمين المطلوبة؟
PSL_DATA_COLLECTION_ENCRYPTED_IN_TRANSIT,,true,MAYBE_REQUIRED,هل يتم تشفير جميع بيانات المستخدمين التي يجمعها تطبيقك أثناء نقلها؟
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_USER_ID_PASSWORD,true,MULTIPLE_CHOICE,ما هي طريقة إنشاء الحساب التي يوفِّرها تطبيقك؟ يُرجى اختيار جميع الطرق المتوفِّرة. / اسم المستخدم وكلمة المرور
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_USER_ID_OTHER_AUTH,,MULTIPLE_CHOICE,ما هي طريقة إنشاء الحساب التي يوفِّرها تطبيقك؟ يُرجى اختيار جميع الطرق المتوفِّرة. / اسم المستخدم وآليات مصادقة أخرى
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_USER_ID_PASSWORD_OTHER_AUTH,,MULTIPLE_CHOICE,ما هي طريقة إنشاء الحساب التي يوفِّرها تطبيقك؟ يُرجى اختيار جميع الطرق المتوفِّرة. / اسم المستخدم وكلمة المرور وطُرق أخرى للمصادقة
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_OAUTH,,MULTIPLE_CHOICE,ما هي طريقة إنشاء الحساب التي يوفِّرها تطبيقك؟ يُرجى اختيار جميع الطرق المتوفِّرة. / OAuth
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_OTHER,,MULTIPLE_CHOICE,ما هي طريقة إنشاء الحساب التي يوفِّرها تطبيقك؟ يُرجى اختيار جميع الطرق المتوفِّرة. / أخرى
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_NONE,,MULTIPLE_CHOICE,ما هي طريقة إنشاء الحساب التي يوفِّرها تطبيقك؟ يُرجى اختيار جميع الطرق المتوفِّرة. / لا يسمح التطبيق للمستخدم بإنشاء حساب
PSL_ACM_SPECIFY,,,MAYBE_REQUIRED,قدِّم وصفًا لطريقة إنشاء الحساب التي يوفِّرها تطبيقك
PSL_ACCOUNT_DELETION_URL,,https://docs.google.com/forms/d/e/1FAIpQLSdgLvjY-3ALURIoi6LVkn5BSuOyC3B46uo95_ck0vckQ6gMRw/viewform?usp=publish-editor,MAYBE_REQUIRED,أضِف رابطًا يتيح للمستخدم طلب حذف حسابه والبيانات المرتبطة به 
